id,keyword,location,text,target,text_length,word_count,clean_text,clean_text_length,clean_word_count
0,ablaze,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,125,19,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze,86,12
1,ablaze,,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,131,23,telangana section imposed bhainsa january clash erupted two group january,73,10
2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,63,7,arsonist set car ablaze dealership,34,5
3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,87,8,arsonist set car ablaze dealership,34,5
4,ablaze,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,140,23,lord jesus love brings freedom pardon fill holy spirit set heart ablaze,71,12
5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,122,23,child chinese tweet would gone viral social medium would ablaze snl would made racist,85,14
6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,139,21,several house set ablaze ngemsibaa village oku sub division north west region cameroon,86,13
7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,131,24,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police,96,15
8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,135,18,national security minister kan dapaah side chic set internet ablaze latest powerful video,89,13
9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,127,18,creature soul longer clarent blue ablaze thing carrying memory memory,69,10
10,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,124,19,image showing havoc caused cameroon military torched house oku shameless military reported,90,12
11,ablaze,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,121,17,social medium went banana chuba hubbard announced monday evening plan return okstate,84,12
12,ablaze,,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,124,19,hausa youth set area office apapa iganmu local council development area ablaze okada rider stormed area office,110,17
13,ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,116,16,mamatabanerjee political violence vandalism continues unabated west bengal office asanol,88,10
14,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,63,8,amen set whole system ablaze man,32,6
15,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,139,19,image showing havoc caused cameroon military torched house oku shameless military,81,11
16,ablaze,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,97,13,cow today local factory sadly still ablaze redjanuary,53,8
17,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,121,21,rengoku set heart ablaze missed style coloring,46,7
18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,113,11,paulzizkaphoto rundle ablaze wishing good evening,49,6
19,ablaze,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,125,21,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou,94,14
20,ablaze,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,122,19,cameroon bir soldier invaded southerncameroons village kimar setting ablaze total,81,10
21,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,126,19,fire ablaze throughout land prophosized apocalypse come fruition not building standing come,91,12
22,ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,139,22,thankfultuesday isaiah pas water pas,36,5
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,117,21,walk fire not scorched flame not set ablaze product,51,9
24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,140,21,originally intended fired boarder opposing ship crew gunner ship riggi,70,10
25,ablaze,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,121,23,warm greeting occasion lohri winter pass may everyone woe trouble set ablaze,76,12
26,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,127,18,another arson njikom boyo nwr ambazombies yesterday set ablaze council building country,87,12
27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,121,16,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become,100,12
28,ablaze,,that is kind true sadly,0,23,5,kind true sadly,15,3
29,ablaze,,I swear that jam will set the world ablaze,0,42,9,swear jam set world ablaze,26,5
30,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,119,16,marivan kurdistan province monday jan protester set propaganda banner qassemsoleimani ablaze,92,11
